Dates,INDU Index,SPX Index,CCMP Index,SPTSX Index,MEXBOL Index,IBOV Index,SX5E Index,UKX Index,CAC Index,DAX Index,IBEX Index,FTSEMIB Index,OMX Index,SMI Index,NKY Index,HSI Index,SHSZ300 Index,AS51 Index
02.01.2020,28868.8,3257.85,9092.19,17099.95,44437.23,118573.1,3793.24,7604.3,6041.5,13385.93,9691.2,23836.26,1808.627,10616.94,23656.62,28543.52,4152.24,6690.583
03.01.2020,28634.88,3234.85,9020.77,17066.12,44624.86,117706.7,3773.37,7622.4,6044.16,13219.14,9646.6,23702.35,1785.234,10699.82,23656.62,28451.5,4144.96,6733.5
06.01.2020,28703.38,3246.28,9071.47,17105.47,44495.3,116877.9,3752.52,7575.34,6013.59,13126.99,9600.9,23581.29,1785.234,10665.41,23204.86,28226.19,4129.3,6735.707
07.01.2020,28583.68,3237.18,9068.58,17168.06,44157.81,116661.9,3759.25,7573.85,6012.35,13226.83,9579.8,23723.38,1796.85,10686.8,23575.72,28322.06,4160.23,6826.438
08.01.2020,28745.09,3253.05,9129.24,17167.82,44470.91,116247,3772.56,7574.93,6031,13320.18,9591.4,23832.02,1795.407,10652.16,23204.76,28087.92,4112.32,6817.625
09.01.2020,28956.9,3274.7,9203.43,17235.57,44572.17,115947.1,3795.88,7598.12,6042.55,13495.06,9581.8,24016.7,1796.735,10650.97,23739.87,28561,4164.37,6874.23
10.01.2020,28823.77,3265.35,9178.86,17234.49,44660.33,115503.4,3789.52,7587.85,6037.11,13483.31,9573.6,24021.4,1784.972,10639.49,23850.57,28638.2,4163.18,6929.027
13.01.2020,28907.05,3288.13,9273.93,17293.42,44847.47,117325.3,3779.68,7617.6,6036.14,13451.52,9543.9,23896.59,1790.51,10622.41,23850.57,28954.94,4203.99,6903.669
14.01.2020,28939.67,3283.15,9251.33,17352.9,44773.24,117632.4,3774.88,7622.35,6040.89,13456.49,9528.3,23928.21,1792.903,10655.82,24025.17,28885.14,4189.89,6962.152
15.01.2020,29030.22,3289.29,9258.7,17415.17,44453.34,116414.4,3768.96,7642.8,6032.61,13432.3,9511.7,23763.86,1787.291,10670.74,23916.58,28773.59,4166.73,6994.84
16.01.2020,29297.64,3316.81,9357.13,17484.77,45303.09,116704.2,3774.14,7609.81,6039.03,13429.43,9572.5,23940.41,1812.297,10693.52,23933.13,28883.04,4149.04,7041.78
17.01.2020,29348.1,3329.62,9388.94,17559.02,45817.76,118478.3,3808.26,7674.56,6100.72,13526.13,9681.3,24141.07,1825.942,10841.82,24041.26,29056.42,4154.85,7064.13
20.01.2020,29348.1,3329.62,9388.94,17597.38,45902.68,118861.6,3799.03,7651.44,6078.54,13548.94,9658.8,24002.45,1821.29,10846.29,24083.51,28795.91,4185.83,7079.515
