Date,LIN ,SAP ,SIE ,ALV ,AIR ,DTE ,MBG ,BAYN ,BAS ,MUV2 ,IFX ,DPW ,DB1 ,RWE ,VOW3 ,BMW ,MRK ,DBK ,ADS ,EOAN ,VNA ,SY1 ,SHL ,DTG ,FRE ,HNR1 ,P911 ,MTX ,HEN3 ,BEI ,QIA ,BNR ,SRT3 ,ZAL ,ENR ,PAH3 ,HEI ,1COV ,CON ,FME 
02/01/2020,190.05,122,107.385,221.5,133.54,14.61,41.952,73.52,68.29,265.9,20.685,34.285,141.15,26.96,180.5,74.22,106,7.347,291.55,9.594,45.391,93.56,42.53,27.70292419,50.01,174.5,97.93029412,258.1,91.16,105.65,30.45,48.76,193.6,45.78,21.7135956,67.68,65.46,42.18,103.988,65.84
03/01/2020,185.3,120.46,105.321,219.05,134.08,14.614,41.192,72.58,67.27,262.6,20.39,33.8,139.4,26.84,176.64,73.32,107.25,7.25,291.95,9.505,45.56,93.66,42.52,27.70292419,49.78,173.9,97.93029412,257.8,91.22,105.65,30.58,48.03,192,45.27,21.7135956,67.02,63.72,41.9,101.826,65.5
06/01/2020,183.6,119.56,104.833,217.7,133.48,14.578,40.969,71.74,66.27,262.7,20.045,33.625,138.35,26.45,176.62,73.05,108.4,7.185,289.65,9.468,45.419,92.7,42.45,27.70292419,49.365,173.1,97.93029412,258,91.48,106,29.84,47.7,189.4,44.91,21.7135956,66.7,63.58,39.89,100.665,65.02
07/01/2020,185.3,120.1,105.502,218.2,132.1,14.606,41.297,72.13,66.3,264.5,21.04,33.92,139.15,27.05,176.06,74.22,109.5,7.434,294.75,9.4,45.663,92.06,42.635,27.70292419,49.475,174.1,97.93029412,262.3,91.58,105.75,29.8,48.28,191.5,45.53,21.7135956,67.52,65.16,40.13,102.844,65.1
08/01/2020,185.85,120.82,105.937,218.3,134.5,14.548,41.528,74,65.73,265,21.31,34.28,142.25,27.17,176.82,74.41,111.3,7.685,302.85,9.431,45.907,92,42.82,27.70292419,49.62,173.5,97.93029412,263,91.74,106.2,30.1,48.87,193.8,46.19,21.7135956,67.66,65.76,40.83,104.828,65.22
09/01/2020,188.45,123.16,107.168,220.7,135.02,14.85,41.704,74.72,66.31,268.7,21.63,34.625,144.1,27.5,181.72,74.36,112.55,7.716,310,9.459,46.029,91.9,43.235,27.70292419,50.32,174.5,97.93029412,270.3,93.04,107.15,30.74,49.47,198,46.65,21.7135956,68.92,65.4,41.17,107.311,66.4
10/01/2020,189,123.76,104.995,220.25,134.38,14.762,41.494,75.36,65.83,267.8,21.42,34.05,144.15,29.26,185.52,74.57,113.7,7.695,309.05,9.67,45.879,90.04,43.62,27.70292419,50.07,173.3,97.93029412,268.8,93.62,107.7,31.5,49.61,201,45.5,21.7135956,69.86,64.06,40.64,106.311,66.26
13/01/2020,189.7,123.76,104.778,219.65,135.2,14.652,41.045,74.73,65.79,267.6,21.655,33.725,143.25,29.32,185.28,73.63,113.4,7.58,309.15,9.711,46.132,89.6,43.075,27.70292419,49.57,172.5,97.93029412,270,93.02,107.3,31.46,48.82,203.6,44.94,21.7135956,69.52,64.08,40.71,103.541,66.3
14/01/2020,190.5,123.6,105.357,218.85,135.22,14.64,40.676,74.54,64.76,267.5,21.34,34.13,143.35,29.18,185.22,73.3,115.1,7.753,313.25,9.756,46.197,90.02,42.085,27.70292419,48.135,173.5,97.93029412,271.4,93.12,107,31.45,48.78,207.6,45.64,21.7135956,69.3,63.32,40.5,105.078,67.24
15/01/2020,189.8,123,104.76,217.2,134.28,14.68,39.656,75.32,64.35,267.4,21.17,34.26,144.5,29.42,182.62,72.19,116.05,7.57,316.05,9.932,46.357,89.6,42.72,27.70292419,48.415,173.7,97.93029412,277.2,93.18,107,30.96,48.27,213.2,46.44,21.7135956,68.26,62.9,40.12,104.738,67.28
16/01/2020,190.2,122.44,105.05,217.35,133.46,14.696,39.349,74.76,64.39,267.4,21.175,34.395,145,30.04,179.92,71.17,114.8,7.629,313.9,10.002,46.816,90.18,42.65,27.70292419,48.04,175,97.93029412,281,93.16,106,30.74,48.42,213.2,46.59,21.7135956,67.84,63.16,40.59,103.237,67.5
17/01/2020,192.15,125.96,105.991,219.65,136.76,14.68,39.194,75.25,64.52,268.6,21.13,34.05,146.45,30.96,181.36,71.06,115.5,7.588,311.65,10.194,47.004,90.8,43.07,27.70292419,48.45,177.7,97.93029412,285.8,93.44,105.9,30.99,48.81,216.2,47.11,21.7135956,67.74,64.04,40.9,102.487,67.86
20/01/2020,191.1,125.66,105.738,221.7,137.94,14.76,39.089,75.5,64.91,271.6,21.14,34.265,146.6,31.29,182.02,71.64,116.3,7.424,310.25,10.268,47.172,91.9,43.495,27.70292419,48.47,178.4,97.93029412,282.9,94.42,106.7,32.51,49.06,215.8,46.26,21.7135956,67.96,64.52,40.83,101.165,68.86
21/01/2020,190.75,126.2,106.082,220.55,136.46,14.832,38.95,75.75,64.7,270.4,21.055,33.915,148.6,31.15,181.3,71.41,117.4,7.5,311.5,10.262,47.435,92.38,43.51,27.70292419,49.345,178.5,97.93029412,285.3,94.92,105.8,32.59,49.02,216.6,46.93,21.7135956,67.92,64.68,41.19,99.36,69.72
22/01/2020,190,126.6,105.014,219.1,138,14.868,38.124,74.68,64.16,271.2,21.35,33.87,150.55,31.18,179.14,70.95,117,7.572,315.05,10.296,47.416,91.1,44.295,27.70292419,48.88,179.2,97.93029412,285,94.34,105.5,31.53,49.09,217.4,46.95,21.7135956,67.06,64.64,40.5,98.646,70
23/01/2020,188.1,123.84,104.633,218.55,135.72,14.668,37.297,74.1,63.09,269.5,21.525,33,148.05,31.05,176.58,69.69,117.45,7.684,310.6,10.326,47.51,90.94,44,27.70292419,48.195,178.1,97.93029412,283.8,93.9,104.75,31.25,47.59,216.8,45.51,21.7135956,66.54,64.66,39.85,95.251,69.98
24/01/2020,192.35,126.9,106.733,220.95,139.04,14.8,36.885,75.25,63.69,272.7,22.005,33.205,150.1,31.92,177.52,69.41,120,7.829,313,10.458,48.016,92.96,45.095,27.70292419,48.825,179.4,97.93029412,286.7,95.64,106.5,31.46,48.73,218.8,46.02,21.7135956,66.58,65.1,39.76,92.106,72.02
27/01/2020,185.25,122.46,103.927,215.25,132.92,14.564,35.74,73.56,62.13,266.7,21.24,32.285,147.6,31.6,171.64,67.7,117.6,7.747,300,10.322,47.435,91.68,43.4,27.70292419,47.65,176,97.93029412,277.9,93.6,103.95,31.08,47.79,215.8,44.38,21.7135956,64.22,63.36,38.72,89.623,70.82
28/01/2020,188.45,119.84,104.416,219.55,134.26,14.91,36.336,75.65,62.84,271.3,20.93,32.305,148.95,31.7,172.46,66.82,118.75,7.87,301.95,10.402,47.829,92.74,43.39,27.70292419,48.72,178.6,97.93029412,277.9,93.32,104.35,31.3,47.84,215.2,44.33,21.7135956,64.24,63.54,39.33,93.178,72.08
29/01/2020,190.3,120,105.285,220.85,136.6,14.858,36.445,74.9,63.06,272,20.855,32.71,150,31.86,169.92,66.55,119.05,7.974,296.3,10.396,48.541,93.4,44.33,27.70292419,48.475,179.3,97.93029412,281.9,93.72,103.75,31.2,47.86,213.4,44.1,21.7135956,63.62,63.72,39.47,92.249,71.92
30/01/2020,187.3,118.18,102.95,218.45,134.4,14.678,35.92,73.46,62,268.8,20.36,31.99,148.6,31.79,164,65.56,118.2,8.311,292.9,10.322,48.391,93,43.775,27.70292419,47,177.1,97.93029412,278.4,93.44,103.5,30.73,47.21,208.8,43.66,21.7135956,61.92,62.6,39.04,92.053,70.88
31/01/2020,184.05,117.82,101.049,215.85,133.16,14.606,35.093,73.05,61.07,266.3,19.576,31.575,147.05,31.34,162.38,64.34,115.9,8.284,285.8,10.24,48.316,92.94,42.48,27.70292419,46.125,175.5,97.93029412,274.4,91.94,102.4,30.16,46.88,210.6,43.43,21.7135956,61.14,61.28,38.15,91.963,69.7
03/02/2020,186.15,120,100.669,217.1,133.56,14.638,34.938,73.32,60.7,270.3,19.512,31.47,149.45,31.61,162.8,64.38,117.35,8.131,285,10.41,48.635,93.72,40.48,27.70292419,46.33,177.8,97.93029412,276,93.12,103.5,30.65,47.24,218,44,21.7135956,61.66,62.3,37.72,91.391,69.9
