Dates,MELI UW Equity,MDLZ UW Equity,CPRT UW Equity,AMZN UW Equity,DDOG UW Equity,GOOG UW Equity,IDXX UW Equity,ABNB UW Equity,CSGP UW Equity,CHTR UW Equity,TEAM UW Equity,CSCO UW Equity,PANW UW Equity,INTC UW Equity,MSFT UW Equity,NVDA UW Equity,CTSH UW Equity,ISRG UW Equity,ALGN UW Equity,EBAY UW Equity,MRVL UW Equity,BKNG UW Equity,BKR UW Equity,ILMN UW Equity,JD UW Equity,TXN UW Equity,KHC UW Equity,GOOGL UW Equity,NFLX UW Equity,KDP UW Equity,ADP UW Equity,XEL UW Equity,CRWD UW Equity,WBA UW Equity,PDD UW Equity,AMD UW Equity,ODFL UW Equity,ADBE UW Equity,AMGN UW Equity,CSX UW Equity,AAPL UW Equity,ADSK UW Equity,CTAS UW Equity,CMCSA UW Equity,CEG UW Equity,AEP UW Equity,,KLAC UW Equity,AVGO UW Equity,CDNS UW Equity,PCAR UW Equity,RIVN UW Equity,COST UW Equity,REGN UW Equity,ATVI UW Equity,ZS UW Equity,AMAT UW Equity,LULU UW Equity,SNPS UW Equity,LCID UW Equity,EA UW Equity,FAST UW Equity,ANSS UW Equity,FISV UW Equity,META UW Equity,GILD UW Equity,SGEN UW Equity,EXC UW Equity,LRCX UW Equity,BIIB UW Equity,GFS UW Equity,VRTX UW Equity,PAYX UW Equity,ADI UW Equity,PYPL UW Equity,QCOM UW Equity,MAR UW Equity,ROST UW Equity,SBUX UW Equity,PEP UW Equity,INTU UW Equity,MCHP UW Equity,MNST UW Equity,WDAY UW Equity,ORLY UW Equity,TSLA UW Equity,ASML UW Equity,ENPH UQ Equity,NXPI UW Equity,HON UW Equity,AZN UW Equity,MRNA UW Equity,SIRI UW Equity,MU UW Equity,WBD UW Equity,TMUS UW Equity,VRSK UW Equity,DLTR UW Equity,FANG UW Equity,ZM UW Equity,FTNT UW Equity,DXCM UW Equity
02.01.2020,610.19,54.33,46.74,94.901,36.7,68.369,265.02,146.3207435,62.066,490.43,122.88,48.42,43.58628617,60.84,160.62,59.9775,61.92,199.087,283.68,36.3,27.375,2074.58,28.8685,327,37.73,129.57,31.61,68.434,329.81,35.16396812,170.32,62.38,49.44,59.08,41.23,49.1,128.02,334.43,240.1,24.3967,75.088,187.83,270.79,45.37,69.25566265,,,182.57,322.39,71.44,79.51,,291.49,373.35,58.65,47.33,62.2,233.42,142.87,,107.34,37.23,259.59,115.52,209.78,65.23,112.41,32.3946,297.89,294.24,,219.45,85.11,120.43,110.75,88.69,151.49,116.83,89.35,135.82,266.16,53.8,63.7,167.46,437.52,28.684,302.83,29.34,128.54,,,19.23,7.13,55.39,,78.4447,151.12,93.78,92.65,68.72,21.936,54.845
03.01.2020,607.8,54.24,46.33,93.749,37.42,68.033,264.77,146.3207435,62.62,494.47,123.04,47.63,43.59200965,60.1,158.62,59.0175,61.36,197.78,280.44,35.96,26.67,2065.48,28.8685,322.73,37.99,127.85,31.24,68.076,325.9,35.16396812,169.96,62.68,50.75,59.08,40.89,48.6,126.4933,331.81,238.47,24.2967,74.358,184.95,269.57,45.01,69.25566265,,,179.08,314.19,70.42,78.73,,291.73,369.16,58.67,47.38,61.21,232.64,141.76,,107.2,36.57,256.97,116.37,208.67,65.07,112.65,32.4945,294.69,290.85,,217.98,84.82,118.31,108.76,87.02,149.27,116.86,88.83,135.63,264.38,52.62,63.28,168.44,438.75,29.534,297.95,29.29,127.3,,,18.89,7.09,54.53,,78.0255,152.59,93.03,94.41,67.28,22.242,54.675
06.01.2020,606.55,54.15,46.745,95.144,39.9,69.711,266.93,146.3207435,62.45,497.45,127.69,47.8,43.59802251,59.93,159.03,59.265,60.745,198.587,285.88,35.78,25.68,2047.4,28.8685,325.53,38,126.96,31.31,69.891,335.83,35.16396812,170.19,62.59,55.11,59.59,40.09,48.39,125.4933,333.71,240.3,24.17,74.95,187.12,270.27,44.67,69.25566265,,,175.05,313.72,70.85,78.44,,291.81,371.74,59.74,48.7,59.89,235.43,141.98,,108.78,36,254.59,116.93,212.6,65.65,111,32.5408,289.19,290.82,,224.03,84.81,116.92,110.17,86.51,147.34,117.43,88.13,136.15,266.41,51.865,63.38,169.49,434.66,30.103,295.58,29.66,126.4,,,18.13,7.12,53.565,,78.4746,152.94,93.03,94.9,70.32,22.4,56.4975
07.01.2020,625,53.92,46.685,95.343,40.06,69.667,266.12,146.3207435,62.003,499.16,128.15,47.49,43.6042283,58.93,157.58,59.9825,60.32,194.267,283.06,35.62,26.25,2068.05,28.8685,329.69,38.32,129.41,30.76,69.756,330.75,35.16396812,168.13,62.46,54.75,59.29,41.21,48.25,125.8533,333.39,238.04,24.3333,74.598,187.5,270.07,44.93,69.25566265,,,176.44,312.64,71.07,77.92,,291.35,373.13,60.335,48.4,61.62,233.7,142.96,,108.39,35.93,256.67,116.48,213.06,65.12,111.32,32.5729,296.24,290.09,,223.79,84.34,119.58,109.67,88.97,144.94,118.8,87.86,134.01,266.47,55.345,63.69,172.95,428.77,31.271,298.79,29.99,128.04,,,17.78,7.07,58.27,,78.7741,154.22,91.93,96.42,71.9,22.378,57.8625
08.01.2020,633.44,54.05,47.005,94.599,39.95,70.216,271.68,146.3207435,62.538,500.77,130.06,47.52,43.60834405,58.97,160.09,60.095,60.73,193.927,286,35.595,26.05,2062.9,28.8685,332.16,38.3,129.76,30.59,70.252,339.26,35.16396812,169.71,62.4,55.66,55.83,40.5,47.83,126.4467,337.87,238.22,24.46,75.798,189.95,275.28,45.39,69.25566265,,,176.67,308.74,72.28,78.96,,294.69,382.42,59.88,50.75,61.58,237.27,145.86,,109.49,36.2,257.73,116.8,215.22,65.8,111.2,32.8046,299.97,292.66,,231.09,85.17,120.66,111.82,88.71,146.73,119.15,88.88,134.7,272.88,54.645,63.82,178.71,431.9,32.809,301.89,31,128.36,,,17.98,7.06,57.52,,79.2732,155.64,89.79,93.33,72.55,22.734,58.3075
09.01.2020,646.43,54.19,47.645,95.053,40.21,70.992,277.94,146.3207435,62.969,507.28,135.41,47.32,43.61368167,59.3,162.09,60.755,61.11,195.263,296.54,35.18,26.1,2084.29,28.8685,334.6,38.9,131.33,30.58,70.989,335.66,35.16396812,171.21,62.54,55.94,54.68,39.66,48.97,129.3467,340.45,238.93,24.58,77.408,191.94,279.35,45.51,69.25566265,,,175.49,306.26,73.36,78.45,,299.42,383.47,59.34,54,61.97,235.9,148.67,,109.36,36.22,261.43,117.8,218.3,65.84,111.83,32.908,297.93,294.3,,230.26,85.745,120.66,112.57,89.91,146.45,122.13,90.53,134.79,274.9,55.16,64.25,179.48,437.37,32.089,301.38,31.59,129.18,,,18.4,7.05,57.31,,79.6624,157.14,91.06,94.15,72.62,22.896,59.8175
10.01.2020,669.48,54.25,47.655,94.158,40.16,71.487,281.64,146.3207435,64.513,505.03,133.9,47.13,43.6238746,58.94,161.34,61.08,60.64,199.573,293.33,34.89,26.5,2086.9,28.8685,335.53,39.11,130,30.7,71.448,329.05,35.16396812,171.09,62.64,57.2,54.22,38.42,48.165,131.3133,339.81,238.26,24.4533,77.583,192.36,278.84,44.98,69.25566265,,,173.01,299.22,73.03,77.81,,297.24,381.41,58.95,55,61.47,234.84,148.46,,108.59,36.33,260.8,117.13,218.06,65.03,112.44,32.9865,294.34,296.51,,228.95,85.27,118.57,112.93,90.26,145.39,120.72,90.16,134.53,275.25,55.415,65.34,180.11,436.85,31.877,296.18,30.67,129.64,,,19.14,7,56.67,,78.8539,157.32,91.35,92.26,73.09,22.864,59.325
13.01.2020,691.1,54.59,48.13,94.565,40.94,71.962,282.29,146.3207435,64.274,510.15,136.07,47.97,43.63043408,59.59,163.28,62.995,61.16,201.04,298.07,34.73,27.52,2080.5,28.8685,323.15,40.31,129.95,31.16,72.002,338.92,35.16396812,172.36,63.37,58.97,54.06,39.35,48.745,133.74,345.63,236.92,24.8967,79.24,192.45,282.85,45.8,69.25566265,,,175.1,301.18,73.39,78.06,,299.87,378.93,59.24,59.62,61.81,245.18,149.93,,109.82,36.59,264.05,118.53,221.91,64.31,105.47,32.9366,297.29,293.9,,226.49,86.26,119.06,115.28,90.97,146.8,119.97,91.08,136.53,276.04,55.605,65.53,181.92,435.5,34.991,301.45,30.79,131.98,,,20.26,7.05,57.45,,79.2532,158.02,90.77,90.48,74.03,23.338,58.96
14.01.2020,652.07,54.19,48.17,93.472,39.27,71.544,284.02,146.3207435,63.991,509.62,134.22,47.79,43.63641479,59.43,162.13,61.82,61.37,200.897,287.61,35.35,27.51,2071.48,28.8685,317.105,40.29,130.67,31.73,71.53,338.69,35.16396812,171.23,63.47,59.24,54.62,38.02,48.21,136,344.63,240,24.8867,78.17,191.11,281.52,46.03,69.25566265,,,177.48,308.18,72.605,78.2,,299.75,387.62,60.05,59.54,62.35,243.77,148.19,,109.58,36.82,262.87,117.55,219.06,64.2,107.75,32.6656,300.76,298.97,,229.75,86.62,119.53,114.64,90.56,147.15,118.96,90.99,136.85,272.68,55.06,65.58,179.98,438.51,35.861,302.55,30.2,132.71,,,20,7.11,57.52,,79.6524,156.88,90.57,91.26,73.16,23.344,58.765
15.01.2020,659.98,54.74,48.335,93.101,40.23,71.96,288.49,146.3207435,64.899,515.4,134.91,48.01,43.64445338,58.94,163.18,61.3925,61.85,199.08,274.1,35.33,26.72,2065.16,28.8685,320.39,39.78,129.17,31.6,71.96,339.07,35.16396812,172.81,64.47,60.25,54.43,38.67,48.545,137.38,342.94,241.7,24.9967,77.835,190.79,284.64,46.28,69.25566265,,,177.92,303.14,71.94,77.46,,300.82,390.75,59.64,59.99,61.93,243.49,147.91,,109.61,36.79,264.28,118.51,221.15,64.1,106.65,33.1933,298.34,293.09,,234.15,87.37,117.51,114.85,89.67,147.3,117.77,91.54,139.2,273,53.79,65.88,179.18,438.15,34.567,300.08,30.16,132.5,,,20.24,7.17,56.17,,80.1216,158.65,90.75,91.31,76.94,23.41,58.585
